"Reference","Qty","Value","Footprint","JLCPCB Part"
"C1","1","4.7 uF 25V X5R 0805","Capacitor_SMD:C_0805_2012Metric","C1779"
"C2","1","22 uF 25V X5R 1206","Capacitor_SMD:C_1206_3216Metric","C12891"
"C3","1","10 pF 50V C0G 0805","Capacitor_SMD:C_0805_2012Metric","C157608"
"D1","1","SS14","SS14:SS14","C2480"
"D2","1","SS14","SS14:SS14","C2480"
"L1","1","ASPI-0630LR-100M-T15","ASPI-0630LR-100M-T15:IND_ASPI-0630LR-100M-T15","C1334133"
"Q1","1","2N7002","Package_TO_SOT_SMD:SOT-23","C8545"
"R1","1","1 MOhm","Resistor_SMD:R_0805_2012Metric","C17514"
"R2","1","604 kOhm 1%","Resistor_SMD:R_0805_2012Metric","C17776"
"R3","1","10 kOhm","Resistor_SMD:R_0805_2012Metric","C17414"
"R4","1","1 MOhm","Resistor_SMD:R_0805_2012Metric","C17514"
"U1","1","AP3015AKTR-G1","AP3015AKTR-G1:AP3015AKTR-G1","C154879"
